[2024-10-27 16:28:23,512] 28 root - INFO - LLM model for text generation created.
[2024-10-27 16:28:32,071] 21 root - INFO - Avatar system initiated.
[2024-10-27 16:28:33,082] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:28:39,739] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:28:40,884] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:28:55,773] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:28:56,257] 31 root - INFO - Text response generated.
[2024-10-27 16:28:58,501] 26 root - INFO - Text response generated.
[2024-10-27 16:28:59,895] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:28:59,898] 30 root - INFO - Response sentiment received.
[2024-10-27 16:29:08,547] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:29:13,432] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:29:13,432] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:29:13,445] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:29:13,445] 85 root - INFO - Stored text loaded.
[2024-10-27 16:29:15,092] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:29:15,093] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:29:35,072] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:29:35,073] 31 root - INFO - Text response generated.
[2024-10-27 16:29:36,274] 26 root - INFO - Text response generated.
[2024-10-27 16:29:36,366] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:29:36,370] 30 root - INFO - Response sentiment received.
[2024-10-27 16:29:37,293] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:29:37,293] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:29:37,294] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:29:37,295] 85 root - INFO - Stored text loaded.
[2024-10-27 16:29:37,979] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:29:37,980] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:29:41,653] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:33:34,188] 28 root - INFO - LLM model for text generation created.
[2024-10-27 16:33:42,248] 21 root - INFO - Avatar system initiated.
[2024-10-27 16:33:42,516] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:33:49,313] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:33:49,314] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:34:04,202] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:34:04,204] 31 root - INFO - Text response generated.
[2024-10-27 16:34:04,991] 26 root - INFO - Text response generated.
[2024-10-27 16:34:05,194] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:34:05,195] 30 root - INFO - Response sentiment received.
[2024-10-27 16:34:14,812] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:34:14,812] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:34:14,815] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:34:14,817] 85 root - INFO - Stored text loaded.
[2024-10-27 16:34:24,932] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:34:27,210] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:34:28,153] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:34:28,154] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:34:48,130] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:34:48,132] 31 root - INFO - Text response generated.
[2024-10-27 16:34:48,917] 26 root - INFO - Text response generated.
[2024-10-27 16:34:48,978] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:34:48,979] 30 root - INFO - Response sentiment received.
[2024-10-27 16:34:49,908] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:34:49,908] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:34:49,910] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:34:49,911] 85 root - INFO - Stored text loaded.
[2024-10-27 16:34:50,633] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:34:50,635] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:34:54,311] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:38:43,526] 28 root - INFO - LLM model for text generation created.
[2024-10-27 16:38:46,178] 21 root - INFO - Avatar system initiated.
[2024-10-27 16:38:46,425] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:38:49,285] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:38:49,286] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:39:04,174] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:39:04,176] 31 root - INFO - Text response generated.
[2024-10-27 16:39:05,011] 26 root - INFO - Text response generated.
[2024-10-27 16:39:05,239] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:39:05,240] 30 root - INFO - Response sentiment received.
[2024-10-27 16:39:17,910] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 16:39:22,564] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:39:22,565] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:39:22,568] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:39:22,568] 85 root - INFO - Stored text loaded.
[2024-10-27 16:39:23,821] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:39:23,822] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:39:43,800] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:39:43,805] 31 root - INFO - Text response generated.
[2024-10-27 16:39:44,698] 26 root - INFO - Text response generated.
[2024-10-27 16:39:44,759] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:39:44,760] 30 root - INFO - Response sentiment received.
[2024-10-27 16:39:45,292] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:39:45,292] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:39:45,294] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:39:45,296] 85 root - INFO - Stored text loaded.
[2024-10-27 16:39:45,974] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:39:45,975] 24 root - INFO - Generated audio file loaded
[2024-10-27 16:39:49,652] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 16:39:49,653] 31 root - INFO - Text response generated.
[2024-10-27 16:39:49,931] 26 root - INFO - Text response generated.
[2024-10-27 16:39:50,112] 30 root - INFO - Sentiment of response generated.
[2024-10-27 16:39:50,113] 30 root - INFO - Response sentiment received.
[2024-10-27 16:39:58,090] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 16:39:58,090] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 16:39:58,091] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 16:39:58,092] 85 root - INFO - Stored text loaded.
[2024-10-27 16:40:10,261] 19 root - INFO - Response text convertion to audio done.
