[2024-10-27 17:05:39,608] 28 root - INFO - LLM model for text generation created.
[2024-10-27 17:05:48,497] 21 root - INFO - Avatar system initiated.
[2024-10-27 17:05:49,037] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 17:05:49,893] 31 root - INFO - Text response generated.
[2024-10-27 17:05:53,916] 26 root - INFO - Text response generated.
[2024-10-27 17:05:55,518] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:05:55,523] 30 root - INFO - Response sentiment received.
[2024-10-27 17:05:59,210] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:05:59,222] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:05:59,227] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:05:59,228] 85 root - INFO - Stored text loaded.
[2024-10-27 17:06:05,090] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:06:06,263] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:06:24,183] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:06:24,191] 31 root - INFO - Text response generated.
[2024-10-27 17:06:24,459] 26 root - INFO - Text response generated.
[2024-10-27 17:06:24,560] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:06:24,561] 30 root - INFO - Response sentiment received.
[2024-10-27 17:06:33,378] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:06:33,378] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:06:33,380] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:06:33,380] 85 root - INFO - Stored text loaded.
[2024-10-27 17:06:38,259] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:06:38,259] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:06:56,196] 33 root - INFO - Created audio file removed for entry of new file.
