[2024-10-27 17:08:05,077] 28 root - INFO - LLM model for text generation created.
[2024-10-27 17:08:14,336] 21 root - INFO - Avatar system initiated.
[2024-10-27 17:08:15,034] 413 huggingface_hub._login - WARNING - Note: Environment variable`HF_TOKEN` is set and is the current active token independently from the token you've just configured.
[2024-10-27 17:08:15,797] 31 root - INFO - Text response generated.
[2024-10-27 17:08:16,636] 26 root - INFO - Text response generated.
[2024-10-27 17:08:18,136] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:08:18,138] 30 root - INFO - Response sentiment received.
[2024-10-27 17:08:21,729] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:08:21,741] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:08:21,742] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:08:21,743] 85 root - INFO - Stored text loaded.
[2024-10-27 17:08:25,023] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:08:26,119] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:08:44,048] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:08:44,050] 31 root - INFO - Text response generated.
[2024-10-27 17:08:44,317] 26 root - INFO - Text response generated.
[2024-10-27 17:08:44,422] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:08:44,423] 30 root - INFO - Response sentiment received.
[2024-10-27 17:08:48,054] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:08:48,054] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:08:48,055] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:08:48,057] 85 root - INFO - Stored text loaded.
[2024-10-27 17:08:51,198] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:08:51,199] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:09:09,130] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:09:09,133] 31 root - INFO - Text response generated.
[2024-10-27 17:09:09,412] 26 root - INFO - Text response generated.
[2024-10-27 17:09:09,542] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:09:09,543] 30 root - INFO - Response sentiment received.
[2024-10-27 17:09:12,922] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:09:12,922] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:09:12,924] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:09:12,925] 85 root - INFO - Stored text loaded.
[2024-10-27 17:09:21,545] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:09:21,547] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:09:39,482] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:09:39,486] 31 root - INFO - Text response generated.
[2024-10-27 17:09:39,735] 26 root - INFO - Text response generated.
[2024-10-27 17:09:39,864] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:09:39,865] 30 root - INFO - Response sentiment received.
[2024-10-27 17:09:48,854] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:09:48,854] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:09:48,855] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:09:48,856] 85 root - INFO - Stored text loaded.
[2024-10-27 17:09:52,050] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:09:52,051] 24 root - INFO - Generated audio file loaded
[2024-10-27 17:10:09,985] 33 root - INFO - Created audio file removed for entry of new file.
[2024-10-27 17:10:09,988] 31 root - INFO - Text response generated.
[2024-10-27 17:10:10,279] 26 root - INFO - Text response generated.
[2024-10-27 17:10:10,405] 30 root - INFO - Sentiment of response generated.
[2024-10-27 17:10:10,406] 30 root - INFO - Response sentiment received.
[2024-10-27 17:10:13,503] 19 root - INFO - Response text convertion to audio done.
[2024-10-27 17:10:13,504] 34 root - INFO - Generated response saved as audio mp3 format.
[2024-10-27 17:10:13,505] 79 root - INFO - Generated response stored in response.txt file in artifacts folder.
[2024-10-27 17:10:13,505] 85 root - INFO - Stored text loaded.
